"annee" "nom_region" "code_region" "domaine_de_tension" "prod_photovoltaïque_enedis_(mwh)" "prod_eolien_enedis_(mwh)" "prod_hydraulique_enedis_(mwh)" "prod_bio_energie_enedis_(mwh)" "prod_cogeneration_enedis_(mwh)" "prod_autres_filieres_enedis_(mwh)"
"2019" "Provence-Alpes-Côte D'azur" "93" "BT <= 36 kVA" 151674.2512 NA NA NA NA NA
"2019" "Île-De-France" "11" "BT <= 36 kVA" NA NA NA NA NA NA
"2018" "Île-De-France" "11" "HTA" 19557.2476666667 142951.331166667 39734.0385 863131.658166667 1029138.68033567 66.11
"2018" "Centre-Val De Loire" "24" "BT > 36 kVA" 113222.049760765 285.432333333333 603.173818511576 11945.1666666667 845.645 NA
"2018" "Normandie" "28" "HTA" 33848.2391666667 1454981.29193483 104781.283 131468.4405 444687.3202345 203.620833333333
"2018" "Centre-Val De Loire" "24" "BT <= 36 kVA" 58543.9566713335 NA NA NA NA NA
"2018" "Grand-Est" "44" "BT <= 36 kVA" 99500.336832966 11.6554133453766 769.557655117883 NA NA NA
"2018" "Normandie" "28" "BT > 36 kVA" 45629.6852675341 331.347833333333 3302.02557990558 35001.4136343333 NA NA
"2017" "Île-De-France" "11" "BT <= 36 kVA" NA NA NA NA NA NA
"2017" "Nouvelle-Aquitaine" "75" "BT > 36 kVA" 404106.321 NA 10259.828 9846.143 NA NA
"2017" "Occitanie" "76" "HTA" 1150698.458 2221060.949 1087818.764 440498.981 196699.035 1654.221
"2017" "Auvergne-Rhône-Alpes" "84" "BT <= 36 kVA" 258293.102 30.239 1640.846 NA NA NA
"2017" "Centre-Val De Loire" "24" "BT <= 36 kVA" 53621.626 NA NA NA NA NA
"2016" "Hauts-De-France" "32" "BT <= 36 kVA" 52244.1600312643 31.6529392106858 NA NA NA NA
"2016" "Centre-Val De Loire" "24" "BT <= 36 kVA" 48289.0633274206 NA NA NA NA NA
"2020" "Nouvelle-Aquitaine" "75" "HTA" 1878177.29321669 1157838.973771 600596.978438333 549837.2264945 366932.2402685 14880.0807273333
"2020" "Normandie" "28" "BT > 36 kVA" 61958.4818411154 210.403 2393.22266666667 66499.8224898627 261.055 NA
"2020" "Île-De-France" "11" "HTA" 60117.851758424 312379.025166667 44357.0855 822941.306 1034025.13170689 5156.762
"2011" "Bretagne" "53" "BT > 36 kVA" 33225.8055770522 NA 811.204 3786.24241992124 NA NA
"2011" "Grand-Est" "44" "BT > 36 kVA" 61412.4947314215 NA 9941.21124572537 6036.72085645211 1527.562 NA
"2011" "Pays De La Loire" "52" "BT > 36 kVA" 64284.4549091412 NA 706.187 463.372983470231 473.719 NA
"2012" "Provence-Alpes-Côte D'azur" "93" "HTA" 393034.041748326 63179.953 305781.866456523 385385.396626746 222134.224833917 292.100430591606
"2012" "Normandie" "28" "BT <= 36 kVA" 34167.2793384598 NA NA NA NA NA
"2012" "Hauts-De-France" "32" "BT <= 36 kVA" 38949.0823248384 NA NA NA NA NA
"2012" "Auvergne-Rhône-Alpes" "84" "HTA" 121195.727971593 757396.107 1372100.89787472 446789.36832 487325.714272843 456.617041475291
"2012" "Bretagne" "53" "HTA" 17556.289639413 1285280.89867214 12934.2046075125 132158.471872387 211657.088708787 1262.2750900694
"2013" "Grand-Est" "44" "HTA" 40757.418 3519883.45699013 320574.934847442 245932.823926455 478321.027676636 369.796
"2013" "Île-De-France" "11" "HTA" 17711.5769153087 38321.196 35097.005 767352.430933338 1009523.69517601 39.441
"2013" "Auvergne-Rhône-Alpes" "84" "BT <= 36 kVA" 163925.927195606 NA NA NA NA NA
"2013" "Grand-Est" "44" "BT <= 36 kVA" 62796.5925214134 NA NA NA NA NA
"2013" "Île-De-France" "11" "BT <= 36 kVA" 30460.4106916727 NA NA NA NA NA
"2013" "Provence-Alpes-Côte D'azur" "93" "BT <= 36 kVA" 130387.697424919 NA NA NA NA NA
"2014" "Centre-Val De Loire" "24" "BT <= 36 kVA" 42269.9513480352 NA NA NA NA NA
"2014" "Bourgogne-Franche-Comté" "27" "BT > 36 kVA" 40190.5582893363 NA 14688.3655545435 8466.63131179087 NA NA
"2014" "Pays De La Loire" "52" "BT > 36 kVA" 159202.69613728 NA 2191.07329389667 8089.10976823366 512.474 NA
"2014" "Occitanie" "76" "BT > 36 kVA" 391905.71864759 NA 25836.3418540671 3803.0621787035 NA NA
"2014" "Occitanie" "76" "BT <= 36 kVA" 225183.940004675 NA NA NA NA NA
"2015" "Provence-Alpes-Côte D'azur" "93" "HTA" 759248.435608705 60198.5120989062 337120.090905713 410597.083 263162.021 8426.44003785546
"2015" "Hauts-De-France" "32" "BT <= 36 kVA" 51643.4410738912 NA NA NA NA NA
"2015" "Bretagne" "53" "BT <= 36 kVA" 92958.7393883974 31.6351933895876 NA NA NA NA
"2019" "Bourgogne-Franche-Comté" "27" "BT <= 36 kVA" 83345.18361 NA 912.7363729 NA NA NA
"2019" "Grand-Est" "44" "BT <= 36 kVA" 102894.2274 NA 776.1123638 NA NA NA
"2019" "Pays De La Loire" "52" "HTA" 113173.8451 1889244.605 15473.0815 340752.3373 541364.4121 6.888
"2019" "Provence-Alpes-Côte D'azur" "93" "HTA" 1144100.674 59252.7955 429501.0429 410621.5316 378588.5259 558.5335
"2019" "Auvergne-Rhône-Alpes" "84" "BT > 36 kVA" 345217.5216 NA 24610.65748 27577.78483 2235.563667 311.2705
"2019" "Nouvelle-Aquitaine" "75" "BT <= 36 kVA" NA 14.69915223 630.5836008 NA NA NA
"2019" "Grand-Est" "44" "HTA" 75673.50802 7153932.043 311469.9801 541005.7292 488806.1387 241.1834163
"2019" "Normandie" "28" "BT > 36 kVA" 50905.8251 298.1936667 2951.053667 39387.79309 371.4398333 NA
"2018" "Hauts-De-France" "32" "BT <= 36 kVA" 64466.1785932646 39.5847837323333 NA NA NA NA
"2018" "Bourgogne-Franche-Comté" "27" "HTA" 79462.4946666667 1209686.39283333 199599.825326667 153685.043 240011.331833333 269.001666666667
"2018" "Pays De La Loire" "52" "BT <= 36 kVA" NA 15.7341520360947 616.82156876008 NA NA NA
"2018" "Auvergne-Rhône-Alpes" "84" "BT <= 36 kVA" 266136.64987895 25.3273633541196 2455.62585419167 NA NA NA
"2018" "Pays De La Loire" "52" "HTA" 106808.590333333 1595122.79866417 17410.507 313316.6405 490746.584833333 66.7725
"2018" "Hauts-De-France" "32" "BT > 36 kVA" 36238.0356186404 219.142166666667 1633.28080899547 13659.4655055 502.546 NA
"2018" "Bourgogne-Franche-Comté" "27" "BT > 36 kVA" 59278.5741461192 NA 13726.4768871313 25459.423 NA NA
"2017" "Grand-Est" "44" "BT > 36 kVA" 133834.454 NA 17418.89 46800.208 786.806 NA
"2017" "Occitanie" "76" "BT > 36 kVA" 579025.877 NA 24919.873 8534.16 NA 0.25
"2017" "Occitanie" "76" "BT <= 36 kVA" 286043.262 54.104 552.946 NA NA NA
"2017" "Hauts-De-France" "32" "BT > 36 kVA" 34281.075 31.928 951.277 11434.721 670.434 NA
"2017" "Hauts-De-France" "32" "HTA" 30691.357 5221871.72 3072.504 482180.07 594224.726 107.077
"2017" "Centre-Val De Loire" "24" "HTA" 42178.806 1355531.142 20648.574 365743.614 231999.888 NA
"2016" "Grand-Est" "44" "BT <= 36 kVA" 82137.7916949923 14.2523738395892 895.504835210844 NA NA NA
"2016" "Auvergne-Rhône-Alpes" "84" "BT <= 36 kVA" 228921.647053661 32.0724914571485 1898.63006802533 NA NA NA
"2016" "Occitanie" "76" "BT > 36 kVA" 524283.954987593 NA 29185.362238955 7530.652 NA NA
"2016" "Grand-Est" "44" "HTA" 52670.235 4619591.815 286431.787 334492.716 411660.43628155 2587.515
"2016" "Hauts-De-France" "32" "BT > 36 kVA" 32338.500073975 325.487 1797.63452415248 10467.579 599.213 NA
"2020" "Centre-Val De Loire" "24" "BT <= 36 kVA" 65297.5875176039 NA NA NA NA 260.241770244722
"2020" "Auvergne-Rhône-Alpes" "84" "HTA" 638478.215341707 1099157.982833 1623808.48402883 668346.748768333 500101.149978333 4160.5717495
"2020" "Provence-Alpes-Côte D'azur" "93" "BT > 36 kVA" 283125.285956535 NA 9715.85104024607 1161.4085 NA NA
"2020" "Bretagne" "53" "BT <= 36 kVA" 103349.413090492 20.6994048237284 NA 989.259173953062 NA 477.587822948991
"2019" "Nouvelle-Aquitaine" "75" "HTA" 1671302.492 870547.2246 538159.777 557543.4434 334951.1526 428.3848333
"2019" "Bretagne" "53" "HTA" 24012.47134 1909942.318 15535.46592 334187.5776 800623.7893 436.2621667
"2019" "Pays De La Loire" "52" "BT > 36 kVA" 257131.7848 NA 1444.581833 28000.17667 504.601 NA
"2019" "Auvergne-Rhône-Alpes" "84" "HTA" 521081.7642 1144244.626 1588255.06 703344.1606 496872.8842 157.9816667
"2019" "Bourgogne-Franche-Comté" "27" "HTA" 124647.425 1533006.008 245692.2715 149620.5958 291950.124 29.50291667
"2019" "Centre-Val De Loire" "24" "BT > 36 kVA" 139884.5416 318.4935 1161.064 14335.45117 859.4205 NA
"2019" "Pays De La Loire" "52" "BT <= 36 kVA" 200876.9293 43.03815155 689.0190996 NA NA NA
