"annee","nom_com","code_commune","nom_departement","code_departement","nom_region","code_region","domaine_de_tension","prod_photovoltaïque_enedis_(mwh)","prod_eolien_enedis_(mwh)","prod_hydraulique_enedis_(mwh)","prod_bio_energie_enedis_(mwh)","prod_cogeneration_enedis_(mwh)","prod_autres_filieres_enedis_(mwh)","nom_commune"
"2020","Amiens","80021","Somme","80","Hauts-De-France","32","HTA",NA,32535.3125,NA,18587.0365,62693.8868333333,NA,"Amiens (80)"
"2020","Amiens","80021","Somme","80","Hauts-De-France","32","BT <= 36 kVA",281.780657793403,NA,NA,NA,NA,NA,"Amiens (80)"
"2011","Angers","49007","Maine-Et-Loire","49","Pays De La Loire","52","BT <= 36 kVA",403.609599997969,NA,NA,NA,NA,NA,"Angers (49)"
"2014","Angers","49007","Maine-Et-Loire","49","Pays De La Loire","52","BT <= 36 kVA",1041.2912456758,NA,NA,NA,NA,NA,"Angers (49)"
"2014","Angers","49007","Maine-Et-Loire","49","Pays De La Loire","52","HTA",NA,NA,NA,NA,19836.107,NA,"Angers (49)"
"2014","Angers","49007","Maine-Et-Loire","49","Pays De La Loire","52","BT > 36 kVA",211.615480563129,NA,NA,NA,NA,NA,"Angers (49)"
"2012","Angers","49007","Maine-Et-Loire","49","Pays De La Loire","52","BT > 36 kVA",136.886608972771,NA,NA,NA,NA,NA,"Angers (49)"
"2015","Angers","49007","Maine-Et-Loire","49","Pays De La Loire","52","BT > 36 kVA",208.268439682527,NA,NA,NA,NA,NA,"Angers (49)"
"2015","Angers","49007","Maine-Et-Loire","49","Pays De La Loire","52","BT <= 36 kVA",1021.97867172201,NA,NA,NA,NA,NA,"Angers (49)"
"2013","Angers","49007","Maine-Et-Loire","49","Pays De La Loire","52","HTA",NA,NA,NA,NA,26175.354,NA,"Angers (49)"
"2013","Angers","49007","Maine-Et-Loire","49","Pays De La Loire","52","BT > 36 kVA",199.034856619128,NA,NA,NA,NA,NA,"Angers (49)"
"2013","Angers","49007","Maine-Et-Loire","49","Pays De La Loire","52","BT <= 36 kVA",759.72173413582,NA,NA,NA,NA,NA,"Angers (49)"
"2017","Angers","49007","Maine-Et-Loire","49","Pays De La Loire","52","HTA",NA,NA,NA,NA,4595.491,NA,"Angers (49)"
"2011","Angers","49007","Maine-Et-Loire","49","Pays De La Loire","52","HTA",NA,NA,NA,NA,25460.9822,NA,"Angers (49)"
"2011","Angers","49007","Maine-Et-Loire","49","Pays De La Loire","52","BT > 36 kVA",88.0407280107934,NA,NA,NA,NA,NA,"Angers (49)"
"2012","Angers","49007","Maine-Et-Loire","49","Pays De La Loire","52","HTA",NA,NA,NA,NA,24839.210175,NA,"Angers (49)"
"2012","Angers","49007","Maine-Et-Loire","49","Pays De La Loire","52","BT <= 36 kVA",499.956439136266,NA,NA,NA,NA,NA,"Angers (49)"
"2018","Angers","49007","Maine-Et-Loire","49","Pays De La Loire","52","HTA",NA,NA,NA,NA,9642.78583333333,NA,"Angers (49)"
"2016","Angers","49007","Maine-Et-Loire","49","Pays De La Loire","52","BT <= 36 kVA",1067.91146026533,NA,NA,NA,NA,NA,"Angers (49)"
"2015","Angers","49007","Maine-Et-Loire","49","Pays De La Loire","52","HTA",NA,NA,NA,NA,12729.208,NA,"Angers (49)"
"2016","Angers","49007","Maine-Et-Loire","49","Pays De La Loire","52","BT > 36 kVA",203.66634187599,NA,NA,NA,NA,NA,"Angers (49)"
"2017","Angers","49007","Maine-Et-Loire","49","Pays De La Loire","52","BT > 36 kVA",186.844,NA,NA,NA,NA,NA,"Angers (49)"
"2017","Angers","49007","Maine-Et-Loire","49","Pays De La Loire","52","BT <= 36 kVA",1078.199,NA,NA,NA,NA,NA,"Angers (49)"
"2018","Angers","49007","Maine-Et-Loire","49","Pays De La Loire","52","BT > 36 kVA",197.635400467314,NA,NA,NA,NA,NA,"Angers (49)"
"2018","Angers","49007","Maine-Et-Loire","49","Pays De La Loire","52","BT <= 36 kVA",837.542700422945,NA,NA,NA,NA,NA,"Angers (49)"
"2019","Angers","49007","Maine-Et-Loire","49","Pays De La Loire","52","BT > 36 kVA",201.971333333333,NA,NA,NA,NA,NA,"Angers (49)"
"2019","Angers","49007","Maine-Et-Loire","49","Pays De La Loire","52","HTA",NA,NA,NA,NA,14337.6915,NA,"Angers (49)"
"2019","Angers","49007","Maine-Et-Loire","49","Pays De La Loire","52","BT <= 36 kVA",1144.14934127951,NA,NA,NA,NA,NA,"Angers (49)"
"2020","Angers","49007","Maine-Et-Loire","49","Pays De La Loire","52","BT <= 36 kVA",1148.2661274501,NA,NA,NA,NA,NA,"Angers (49)"
"2016","Angers","49007","Maine-Et-Loire","49","Pays De La Loire","52","HTA",NA,NA,NA,NA,9050.673,NA,"Angers (49)"
"2020","Angers","49007","Maine-Et-Loire","49","Pays De La Loire","52","BT > 36 kVA",405.100833333333,NA,NA,NA,NA,NA,"Angers (49)"
"2020","Angers","49007","Maine-Et-Loire","49","Pays De La Loire","52","HTA",34.096,NA,NA,NA,18056.4268333333,NA,"Angers (49)"
"2015","Annecy","74010","Haute-Savoie","74","Auvergne-Rhône-Alpes","84","BT <= 36 kVA",164.884872406911,NA,NA,NA,NA,NA,"Annecy (74)"
"2012","Annecy","74010","Haute-Savoie","74","Auvergne-Rhône-Alpes","84","BT <= 36 kVA",133.235453175515,NA,NA,NA,NA,NA,"Annecy (74)"
"2017","Annecy","74010","Haute-Savoie","74","Auvergne-Rhône-Alpes","84","BT > 36 kVA",422.495,NA,263.784,NA,NA,NA,"Annecy (74)"
"2017","Annecy","74010","Haute-Savoie","74","Auvergne-Rhône-Alpes","84","HTA",NA,NA,5529.872,NA,196.749,NA,"Annecy (74)"
"2013","Annecy","74010","Haute-Savoie","74","Auvergne-Rhône-Alpes","84","BT <= 36 kVA",127.858192513058,NA,NA,NA,NA,NA,"Annecy (74)"
"2011","Annecy","74010","Haute-Savoie","74","Auvergne-Rhône-Alpes","84","BT <= 36 kVA",89.267270859946,NA,NA,NA,NA,NA,"Annecy (74)"
"2014","Annecy","74010","Haute-Savoie","74","Auvergne-Rhône-Alpes","84","BT <= 36 kVA",155.865206580837,NA,NA,NA,NA,NA,"Annecy (74)"
"2017","Annecy","74010","Haute-Savoie","74","Auvergne-Rhône-Alpes","84","BT <= 36 kVA",710.823,NA,NA,NA,NA,NA,"Annecy (74)"
"2018","Annecy","74010","Haute-Savoie","74","Auvergne-Rhône-Alpes","84","HTA",NA,NA,6905.7255,NA,146.572833333333,NA,"Annecy (74)"
"2018","Annecy","74010","Haute-Savoie","74","Auvergne-Rhône-Alpes","84","BT <= 36 kVA",658.314240790757,NA,NA,NA,NA,NA,"Annecy (74)"
"2018","Annecy","74010","Haute-Savoie","74","Auvergne-Rhône-Alpes","84","BT > 36 kVA",377.438277865547,NA,396.359837046767,NA,NA,NA,"Annecy (74)"
"2019","Annecy","74010","Haute-Savoie","74","Auvergne-Rhône-Alpes","84","HTA",NA,NA,8035.71483333333,NA,76.736,NA,"Annecy (74)"
"2019","Annecy","74010","Haute-Savoie","74","Auvergne-Rhône-Alpes","84","BT <= 36 kVA",803.7656387473,NA,NA,NA,NA,NA,"Annecy (74)"
"2019","Annecy","74010","Haute-Savoie","74","Auvergne-Rhône-Alpes","84","BT > 36 kVA",329.638,NA,414.649,NA,NA,NA,"Annecy (74)"
"2016","Annecy","74010","Haute-Savoie","74","Auvergne-Rhône-Alpes","84","BT <= 36 kVA",142.594706336445,NA,NA,NA,NA,NA,"Annecy (74)"
"2020","Annecy","74010","Haute-Savoie","74","Auvergne-Rhône-Alpes","84","HTA",NA,NA,6609.03383333333,NA,40.4333333333333,NA,"Annecy (74)"
"2020","Annecy","74010","Haute-Savoie","74","Auvergne-Rhône-Alpes","84","BT <= 36 kVA",810.593736124982,NA,NA,NA,NA,NA,"Annecy (74)"
"2020","Annecy","74010","Haute-Savoie","74","Auvergne-Rhône-Alpes","84","BT > 36 kVA",442.271,NA,1000.92683333333,NA,NA,NA,"Annecy (74)"
"2014","Argenteuil","95018","Val-D'oise","95","Île-De-France","11","HTA",NA,NA,NA,58954.0873333333,NA,NA,"Argenteuil (95)"
"2014","Argenteuil","95018","Val-D'oise","95","Île-De-France","11","BT <= 36 kVA",180.711493958475,NA,NA,NA,NA,NA,"Argenteuil (95)"
"2011","Argenteuil","95018","Val-D'oise","95","Île-De-France","11","BT <= 36 kVA",87.6780782973694,NA,NA,NA,NA,NA,"Argenteuil (95)"
"2015","Argenteuil","95018","Val-D'oise","95","Île-De-France","11","HTA",NA,NA,NA,49752.856,NA,NA,"Argenteuil (95)"
"2012","Argenteuil","95018","Val-D'oise","95","Île-De-France","11","BT <= 36 kVA",131.412413574605,NA,NA,NA,NA,NA,"Argenteuil (95)"
"2012","Argenteuil","95018","Val-D'oise","95","Île-De-France","11","HTA",NA,NA,NA,45000.169,NA,NA,"Argenteuil (95)"
"2013","Argenteuil","95018","Val-D'oise","95","Île-De-France","11","BT <= 36 kVA",170.964119143068,NA,NA,NA,NA,NA,"Argenteuil (95)"
"2013","Argenteuil","95018","Val-D'oise","95","Île-De-France","11","HTA",NA,NA,NA,53230.618,NA,NA,"Argenteuil (95)"
"2017","Argenteuil","95018","Val-D'oise","95","Île-De-France","11","HTA",NA,NA,NA,50383.489,NA,NA,"Argenteuil (95)"
"2011","Argenteuil","95018","Val-D'oise","95","Île-De-France","11","HTA",NA,NA,NA,57523.735,NA,NA,"Argenteuil (95)"
"2018","Argenteuil","95018","Val-D'oise","95","Île-De-France","11","BT <= 36 kVA",395.464417910609,NA,NA,NA,NA,NA,"Argenteuil (95)"
"2018","Argenteuil","95018","Val-D'oise","95","Île-De-France","11","HTA",NA,NA,NA,59559.9005,NA,NA,"Argenteuil (95)"
"2015","Argenteuil","95018","Val-D'oise","95","Île-De-France","11","BT <= 36 kVA",223.180484876551,NA,NA,NA,NA,NA,"Argenteuil (95)"
"2017","Argenteuil","95018","Val-D'oise","95","Île-De-France","11","BT <= 36 kVA",271.663,NA,NA,NA,NA,NA,"Argenteuil (95)"
"2016","Argenteuil","95018","Val-D'oise","95","Île-De-France","11","HTA",NA,NA,NA,52467.843,NA,NA,"Argenteuil (95)"
"2016","Argenteuil","95018","Val-D'oise","95","Île-De-France","11","BT <= 36 kVA",249.271244111541,NA,NA,NA,NA,NA,"Argenteuil (95)"
"2019","Argenteuil","95018","Val-D'oise","95","Île-De-France","11","BT <= 36 kVA",350.68856336609,NA,NA,NA,NA,NA,"Argenteuil (95)"
"2019","Argenteuil","95018","Val-D'oise","95","Île-De-France","11","HTA",NA,NA,NA,44770.9269166667,NA,NA,"Argenteuil (95)"
"2020","Argenteuil","95018","Val-D'oise","95","Île-De-France","11","HTA",NA,NA,NA,51140.7526666667,NA,NA,"Argenteuil (95)"
"2020","Argenteuil","95018","Val-D'oise","95","Île-De-France","11","BT <= 36 kVA",346.642984457387,NA,NA,NA,NA,NA,"Argenteuil (95)"
"2014","Besançon","25056","Doubs","25","Bourgogne-Franche-Comté","27","BT > 36 kVA",221.8268827158,NA,NA,NA,NA,NA,"Besançon (25)"
"2014","Besançon","25056","Doubs","25","Bourgogne-Franche-Comté","27","BT <= 36 kVA",680.705560921514,NA,NA,NA,NA,NA,"Besançon (25)"
"2011","Besançon","25056","Doubs","25","Bourgogne-Franche-Comté","27","HTA",NA,NA,NA,191.868,NA,86.556,"Besançon (25)"
"2015","Besançon","25056","Doubs","25","Bourgogne-Franche-Comté","27","BT > 36 kVA",255.692754500766,NA,NA,NA,NA,NA,"Besançon (25)"
"2012","Besançon","25056","Doubs","25","Bourgogne-Franche-Comté","27","BT > 36 kVA",153.708484789168,NA,NA,NA,NA,NA,"Besançon (25)"
"2012","Besançon","25056","Doubs","25","Bourgogne-Franche-Comté","27","BT <= 36 kVA",442.42358378099,NA,NA,NA,NA,NA,"Besançon (25)"
"2013","Besançon","25056","Doubs","25","Bourgogne-Franche-Comté","27","BT > 36 kVA",205.711082867792,NA,NA,NA,NA,NA,"Besançon (25)"
"2013","Besançon","25056","Doubs","25","Bourgogne-Franche-Comté","27","HTA",407.66,NA,NA,399.707,NA,151.992,"Besançon (25)"
"2013","Besançon","25056","Doubs","25","Bourgogne-Franche-Comté","27","BT <= 36 kVA",583.875970289813,NA,NA,NA,NA,NA,"Besançon (25)"
"2011","Besançon","25056","Doubs","25","Bourgogne-Franche-Comté","27","BT <= 36 kVA",351.732875393538,NA,NA,NA,NA,NA,"Besançon (25)"
"2011","Besançon","25056","Doubs","25","Bourgogne-Franche-Comté","27","BT > 36 kVA",114,NA,NA,NA,NA,NA,"Besançon (25)"
"2017","Besançon","25056","Doubs","25","Bourgogne-Franche-Comté","27","BT > 36 kVA",277.606,NA,NA,NA,NA,NA,"Besançon (25)"
"2017","Besançon","25056","Doubs","25","Bourgogne-Franche-Comté","27","BT <= 36 kVA",771.487,NA,NA,NA,NA,NA,"Besançon (25)"
"2017","Besançon","25056","Doubs","25","Bourgogne-Franche-Comté","27","HTA",444.783,NA,3167.682,206.675,NA,402.044,"Besançon (25)"
"2012","Besançon","25056","Doubs","25","Bourgogne-Franche-Comté","27","HTA",276.051464726435,NA,NA,207.977,NA,106.797,"Besançon (25)"
"2015","Besançon","25056","Doubs","25","Bourgogne-Franche-Comté","27","BT <= 36 kVA",779.297366548551,NA,NA,NA,NA,NA,"Besançon (25)"
"2015","Besançon","25056","Doubs","25","Bourgogne-Franche-Comté","27","HTA",474.443,NA,1216.53007794202,286.906,NA,49.328,"Besançon (25)"
"2016","Besançon","25056","Doubs","25","Bourgogne-Franche-Comté","27","BT <= 36 kVA",680.295685611989,NA,NA,NA,NA,NA,"Besançon (25)"
"2014","Besançon","25056","Doubs","25","Bourgogne-Franche-Comté","27","HTA",441.498,NA,NA,417.317,NA,88.661,"Besançon (25)"
"2018","Besançon","25056","Doubs","25","Bourgogne-Franche-Comté","27","HTA",465.248333333333,NA,3177.10816666667,539.107666666667,NA,10.4946666666667,"Besançon (25)"
"2018","Besançon","25056","Doubs","25","Bourgogne-Franche-Comté","27","BT <= 36 kVA",819.883086438283,NA,NA,NA,NA,NA,"Besançon (25)"
